ParticipantID,Calib start,Calib end,Pupil start,Pupil end,Align start,Align end,Task start,Task end
P01,00:01.1,01:57.4,,,02:32.3,02:44.9,03:09.3,10:29.0
P02,00:01.0,01:38.8,,,02:05.3,02:12.5,02:46.1,11:01.1
P03,00:01.0,01:50.4,,,02:16.8,02:24.8,02:47.9,11:23.8
P04,00:00.3,02:19.6,,,03:31.1,03:47.3,04:34.9,11:55.6
P05,00:01.1,02:57.2,,,04:06.1,04:25.7,05:25.3,20:27.4
P06,00:01.0,02:20.0,,,03:14.5,03:32.0,04:00.9,11:21.7
P07,00:01.0,02:04.4,,,03:12.1,03:23.6,03:58.5,13:14.4
P08,00:01.0,01:39.6,,,02:35.4,02:49.4,03:07.2,10:29.2
P09,00:01.1,02:08.3,,,02:38.2,02:49.5,03:03.3,15:16.7
P10,00:01.0,02:00.5,,,02:34.9,02:51.1,03:15.1,15:36.0
P11,00:01.0,01:54.1,,,02:14.9,02:24.8,03:00.0,11:01.0
P12,00:01.1,01:56.3,,,02:20.1,02:28.8,02:46.1,10:06.9
P13,00:01.0,00:04.3,,,00:13.7,00:23.8,00:32.2,12:17.8
P14,00:01.0,01:55.8,,,02:20.8,02:29.0,03:09.0,11:05.6
P15,00:01.0,01:20.5,,,01:59.9,02:11.4,02:22.7,09:43.7
P16,00:01.1,01:22.8,,,01:47.9,01:55.3,02:08.0,10:58.1
P17,00:01.2,02:06.7,,,02:56.6,03:06.1,03:35.5,13:58.7
P18,00:01.1,02:29.9,,,03:19.7,03:38.3,04:33.3,25:24.8
P19,00:01.2,01:29.3,,,01:59.3,02:07.7,02:24.7,09:45.5
P20,00:01.1,01:15.4,,,01:43.3,01:51.6,02:01.1,18:28.0
P21,00:01.0,01:29.1,,,02:04.3,02:18.1,03:29.7,10:50.4
P22,00:01.2,01:24.7,,,01:51.5,02:01.3,02:25.2,09:45.8
P23,09:45.8,01:47.4,,,02:18.0,02:18.0,02:53.1,19:25.8
P24,00:01.1,01:22.6,,,01:49.1,01:56.5,02:08.1,14:12.3
P25,00:01.0,01:44.3,,,02:02.7,02:13.1,02:22.5,38:48.9
